read	cluster	cluster_size	type
8e74ebf1-f5e6-4ea6-a873-9644a2ac885c	169	1	NA
3816b0a7-59d4-439c-b414-c0d1b665b6ca	170	1	NA
6f201291-be63-4a5d-937a-7a97be482fa5	171	2	NA
d62a97ec-1d4f-487b-85b8-bcbfc0b5c4c5	171	2	NA
1f5dc2dd-1eb9-4bef-b868-77f3ae944628	172	1	annotated
95f38d1e-c41a-4894-8139-c7433f7990db	173	1	NA
02a97359-1883-440f-b5bb-bc454deb475d	174	1	NA
f80beb99-dea9-49f4-8899-0d444e048600	175	1	annotated
c5b0cb31-d015-45bc-90ba-c5000ac28df8	176	1	annotated
fe6fe778-8001-4a93-9ab3-3cf25614f87d	177	1	annotated
468d6505-8c87-43ab-abfa-72f9d3a15abe	178	1	annotated
571a04ce-0241-4869-bbe7-5a84a4ae4f90	179	1	annotated
1a61e5a5-f2d6-4bb2-a7f1-802576f7f054	180	1	annotated
4cce80f7-9916-458e-a311-fa392b21f1cc	181	1	annotated
4e242d4b-d0b0-431c-8ae2-20347d149ed5	182	1	annotated
77e7b3bf-475b-4c4a-8c15-eadceceb6008	183	1	NA
17c82161-9809-4bdc-8d2d-b308f9446bc7	184	1	annotated
17c82161-9809-4bdc-8d2d-b308f9446bc7	184	1	annotated
17c82161-9809-4bdc-8d2d-b308f9446bc7	184	1	annotated
17c82161-9809-4bdc-8d2d-b308f9446bc7	184	1	annotated
17c82161-9809-4bdc-8d2d-b308f9446bc7	184	1	annotated
680ae47f-648e-49fa-9c3a-7bbac32a67d5	185	1	annotated
680ae47f-648e-49fa-9c3a-7bbac32a67d5	185	1	annotated
7b7ae230-b458-476a-a414-23ce3a730f09	186	1	annotated
7b7ae230-b458-476a-a414-23ce3a730f09	186	1	annotated
7b7ae230-b458-476a-a414-23ce3a730f09	186	1	annotated
17c82161-9809-4bdc-8d2d-b308f9446bc7	187	1	annotated
